slug,name,url,model_year,body_style,seats,curb_weight_kg,sold_in_us,sold_in_eu,battery_chemistry,battery_pack_arch,battery_gross_kwh,battery_usable_kwh,battery_cell_supplier,battery_thermal_mgmt,battery_pack_voltage,range_epa_mi,range_epa_city_mi,range_epa_hwy_mi,efficiency_epa_kwh_per_100mi,efficiency_epa_city_kwh_per_100mi,efficiency_epa_hwy_kwh_per_100mi,range_wltp_km,range_cltc_km,range_real_world_km,efficiency_wltp_wh_per_km,dc_peak_kw,dc_10_80_min,ac_onboard_kw,dc_connector,dc_connector_us,v2l_kw,power_kw,torque_nm,accel_0_60_mph_s,accel_0_100_kmh_s,top_speed_kmh,msrp_usd,msrp_eur,msrp_gbp,warranty_battery_years,warranty_battery_mi,warranty_battery_km,warranty_soh_floor,nhtsa_overall_stars,euroncap_overall_stars,euroncap_year,recall_count,est_degradation_pct_per_year,est_soh_projection_8yr,est_battery_replacement_usd,est_battery_replacement_eur,est_residual_5yr_pct
gmc-hummer-ev-pickup-3x,GMC Hummer EV Pickup 3X,https://evmodelcompare.com/ev/gmc-hummer-ev-pickup-3x/,2025,pickup,,,true,false,,,,,,,,312,343,274,65.1,58.6,73.2,,,,,,,,,,,,,,,,,,,8,100000,,75,,,,3,,,,,
kia-ev3-long-range-fwd,Kia EV3 Long Range FWD,https://evmodelcompare.com/ev/kia-ev3-long-range-fwd/,2027,suv,,,true,false,,343 V,81.4,,,,,321,360,284,29,26,33,,,,,,31,11.5,,NACS (J3400),,150,283,,,,34990,,,10,100000,,70,,,,,,,,,
hyundai-ioniq-9-rwd,Hyundai Ioniq 9 RWD,https://evmodelcompare.com/ev/hyundai-ioniq-9-rwd/,2027,suv,,,true,false,NCM,800 V,110.3,107,,,610,335,372,299,37,33,41,,,,,233,24,11,,NACS,,160,350,,,,,,,10,100000,,70,5,,,1,,,,,
rivian-r1s-dual-motor-max-pack,"Rivian R1S Dual Motor, Max pack",https://evmodelcompare.com/ev/rivian-r1s-dual-motor-max-pack/,2026,suv,,,true,false,NMC,400 V,149,142.3,,,,410,441,373,39.9,36.9,43.6,,,,,210,48,11.5,,,,,,,,,,,,8,150000,,70,,,,3,,,,,
tesla-cybertruck-long-range,Tesla Cybertruck Long Range,https://evmodelcompare.com/ev/tesla-cybertruck-long-range/,2025,pickup,,,true,false,,,,,,,,335,373,288,40.9,36.1,46.7,,,,,,,,,,,,,,,,,,,8,150000,,70,5,,,2,,,,,
ford-f-150-lightning-extended-range,Ford F-150 Lightning Extended Range,https://evmodelcompare.com/ev/ford-f-150-lightning-extended-range/,2025,pickup,,,true,false,NMC,,150,131,,,,320,350,283,47.9,43.3,53.6,,,,,150,49,11.3,,,,,,,,,,,,8,100000,,70,5,,,6,,,,,
lexus-rz-350e-fwd,Lexus RZ 350e FWD,https://evmodelcompare.com/ev/lexus-rz-350e-fwd/,2026,suv,,,true,false,,,74.69,,,,,301,324,273,26.6,24.6,29.1,,,,,,30,11,,NACS (J3400),,167,,,,,,,,,,,,,,,1,,,,,
audi-q4-45-e-tron,Audi Q4 45 e-tron,https://evmodelcompare.com/ev/audi-q4-45-e-tron/,2026,suv,,,true,false,,,82,,,,,288,311,260,29.4,27,32.3,,,,,175,28,,,,,210,,,,,50600,,,8,100000,,70,5,,,3,,,,,
mercedes-benz-cla-250-with-eq-technology,Mercedes-Benz CLA 250+ with EQ Technology,https://evmodelcompare.com/ev/mercedes-benz-cla-250-with-eq-technology/,2027,sedan,,2065,true,false,NMC,800 V,,85,,,,317,327,306,31,30,32,,,,,320,22,9.6,,,,200,335,,,,47950,,,8,100000,,,,,,,,,,,
polestar-2-single-motor,Polestar 2 Single Motor,https://evmodelcompare.com/ev/polestar-2-single-motor/,2025,sedan,,,true,false,,,,,,,,314,337,286,29.6,27.4,32.4,,,,,,,,,,,,,,,,,,,8,100000,,,5,,,3,,,,,
genesis-gv60-awd,Genesis GV60 AWD,https://evmodelcompare.com/ev/genesis-gv60-awd/,2027,suv,,,true,false,,,,,,,,282,301,262,33.6,31.5,36.2,,,,,,,,,,,,,,,,,,,10,100000,,70,5,,,4,,,,,
nissan-leaf-75-kwh,Nissan Leaf 75 kWh,https://evmodelcompare.com/ev/nissan-leaf-75-kwh/,2026,hatchback,,,true,false,NMC,400 V,78,75,,,,303,325,276,27.8,25.8,30.3,,,,,150,35,7.2,,NACS,,,,,,,,,,,,,,,,,1,,,,,
subaru-solterra-awd,Subaru Solterra AWD,https://evmodelcompare.com/ev/subaru-solterra-awd/,2027,suv,,,true,false,,,74.7,,,,,288,314,261,28,25.6,30.8,,,,,150,28,11,,NACS (J3400),,,,,,,38495,,,8,100000,,70,5,,,1,,,,,
acura-zdx-rwd,Acura ZDX RWD,https://evmodelcompare.com/ev/acura-zdx-rwd/,2026,suv,,,true,false,,,,,,,,327,355,293,36.9,33.6,40.8,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,
honda-prologue-fwd,Honda Prologue FWD,https://evmodelcompare.com/ev/honda-prologue-fwd/,2026,suv,5,2237,true,false,,,85,,,,,308,333,278,32.5,29.9,35.8,,,,,,,,,,,164,329,,,,,,,,,,,5,,,,,,,,
lucid-air-pure-rwd,Lucid Air Pure RWD,https://evmodelcompare.com/ev/lucid-air-pure-rwd/,2026,sedan,,,true,false,NMC,800 V,88,84,,,,420,430,408,23.1,22.6,23.8,,,,,250,29,22,,,,,,,,,,,,8,100000,,70,5,,,8,,,,,
cadillac-optiq-rwd,Cadillac Optiq RWD,https://evmodelcompare.com/ev/cadillac-optiq-rwd/,2027,suv,5,,true,false,,,,85,,,,317,354,281,32.1,28.7,36.2,,,,,150,,11.5,,NACS (J3400),,235,450,,,,,,,,,,,,,,,,,,,
cadillac-lyriq-rwd,Cadillac Lyriq RWD,https://evmodelcompare.com/ev/cadillac-lyriq-rwd/,2027,suv,5,,true,false,,,,102,,,,326,356,295,36.8,33.7,40.7,,,,,190,,11.5,,NACS (J3400),,272,441,,,,,,,,,,,5,,,3,,,,,
chevrolet-silverado-ev-max-range,Chevrolet Silverado EV Max Range,https://evmodelcompare.com/ev/chevrolet-silverado-ev-max-range/,2026,pickup,,,true,false,,,,,,,,493,539,437,49.5,44.8,55.2,,,,,,,,,,,,,,,,74200,,,8,100000,,75,5,,,2,,,,,
chevrolet-blazer-ev-fwd,Chevrolet Blazer EV FWD,https://evmodelcompare.com/ev/chevrolet-blazer-ev-fwd/,2027,suv,5,,true,false,,,,,,,,312,340,284,32.3,29.6,35.5,,,,,,,,,NACS (J3400),,,,,,,44700,,,8,100000,,75,5,,,1,,,,,
chevrolet-equinox-ev-fwd,Chevrolet Equinox EV FWD,https://evmodelcompare.com/ev/chevrolet-equinox-ev-fwd/,2026,suv,,,true,false,,400 V,89,85,,,,319,342,291,31.1,28.8,33.9,,,,,150,37,11.5,,,,,,,,,,,,8,100000,,75,5,,,1,,,,,
ford-mustang-mach-e-sr-rwd,Ford Mustang Mach-E Standard Range RWD,https://evmodelcompare.com/ev/ford-mustang-mach-e-sr-rwd/,2026,suv,5,2175,true,true,LFP,400 V,78,72.6,,liquid-active,,260,269,249,31.4,30.4,32.8,470,,380,191,150,32,11,,NACS,,197,525,,6.2,180,,56500,50840,8,100000,,70,5,,,5,,,,,
tesla-model-y-rwd,Tesla Model Y RWD,https://evmodelcompare.com/ev/tesla-model-y-rwd/,2026,suv,5,1981,false,true,LFP,400 V,64,60,,liquid-active,,,,,,,,534,,380,158,175,24,11,CCS2,,,220,,,7.2,201,,40970,41990,8,100000,,70,,5,2022,,,,,,
