code,state,residential_cents_per_kwh,rank_cheapest,home_charging_usd_per_month,page_url,dc_fast_sites,dc_fast_plugs,single_plug_sites,largest_network,largest_network_plugs,nacs_sites,ccs_sites,chademo_sites
NV,Nevada,13.11,1,46,https://evmodelcompare.com/charging/nevada/,141,1174,22,Tesla,870,72,79,36
NE,Nebraska,13.25,2,46,https://evmodelcompare.com/charging/nebraska/,93,282,48,Tesla,92,16,84,48
UT,Utah,13.37,3,47,https://evmodelcompare.com/charging/utah/,194,1009,61,Tesla,484,69,150,69
LA,Louisiana,13.49,4,47,https://evmodelcompare.com/charging/louisiana/,94,410,31,Tesla,223,23,76,26
TN,Tennessee,14.07,5,49,https://evmodelcompare.com/charging/tennessee/,247,1024,124,Tesla,594,85,200,87
ND,North Dakota,14.12,7,49,https://evmodelcompare.com/charging/north-dakota/,43,143,17,Tesla,60,10,36,13
AR,Arkansas,14.12,6,49,https://evmodelcompare.com/charging/arkansas/,65,287,12,Tesla,103,21,55,15
KY,Kentucky,14.26,8,50,https://evmodelcompare.com/charging/kentucky/,114,460,31,Tesla,210,45,95,20
OK,Oklahoma,14.33,9,50,https://evmodelcompare.com/charging/oklahoma/,189,897,37,FCN,426,34,173,109
ID,Idaho,14.37,10,50,https://evmodelcompare.com/charging/idaho/,86,309,27,Tesla,142,23,69,35
NC,North Carolina,14.74,11,52,https://evmodelcompare.com/charging/north-carolina/,362,1888,106,Tesla,1090,118,265,141
MS,Mississippi,14.88,12,52,https://evmodelcompare.com/charging/mississippi/,99,345,45,Tesla,144,25,87,31
WA,Washington,14.91,13,52,https://evmodelcompare.com/charging/washington/,529,2315,173,Tesla,977,161,442,217
NM,New Mexico,15.06,14,53,https://evmodelcompare.com/charging/new-mexico/,177,611,67,Tesla,218,31,153,92
FL,Florida,15.1,15,53,https://evmodelcompare.com/charging/florida/,890,5128,202,Tesla,2801,375,637,271
MT,Montana,15.14,16,53,https://evmodelcompare.com/charging/montana/,55,258,13,Tesla,160,23,34,14
AZ,Arizona,15.18,17,53,https://evmodelcompare.com/charging/arizona/,215,1504,48,Tesla,970,84,155,53
WY,Wyoming,15.24,18,53,https://evmodelcompare.com/charging/wyoming/,45,169,11,Tesla,80,13,33,5
SD,South Dakota,15.36,19,54,https://evmodelcompare.com/charging/south-dakota/,46,157,18,Tesla,68,12,35,13
WV,West Virginia,15.45,20,54,https://evmodelcompare.com/charging/west-virginia/,56,217,19,Tesla,142,20,38,13
SC,South Carolina,15.55,21,54,https://evmodelcompare.com/charging/south-carolina/,203,938,90,Tesla,572,56,158,50
KS,Kansas,15.71,22,55,https://evmodelcompare.com/charging/kansas/,86,382,23,Tesla,176,25,68,32
IA,Iowa,15.93,23,56,https://evmodelcompare.com/charging/iowa/,149,577,30,Tesla,178,21,130,64
TX,Texas,15.94,24,56,https://evmodelcompare.com/charging/texas/,883,5374,194,Tesla,2829,370,685,197
MO,Missouri,16.22,25,57,https://evmodelcompare.com/charging/missouri/,224,893,78,Tesla,355,56,186,87
OR,Oregon,16.32,26,57,https://evmodelcompare.com/charging/oregon/,337,1319,164,Tesla,656,82,276,180
